State,,Total Population,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Median Income (dollars)
North Dakota,Moved; from different  state,5,11,5.9,7.1,3.8,5.9,3,1.2,2.1,22078
North Dakota,Moved; from abroad,1,1.8,1.2,1.6,0.7,1.3,1.4,0,0.3,26953
Ohio,Total,9683030,1189360,712387,1101992,1013202,1361784,1047068,493702,1770109,37886
Ohio,Moved; within same county,6.2,7.7,7.5,6.7,7,6.8,5.9,5.5,3.9,31799
Ohio,"Moved; from different county, same state",3.2,5.9,3.1,2.9,3,2.9,2.8,2.3,2.2,29811
Ohio,Moved; from different  state,1.7,2.6,1.5,1.6,1.6,1.4,1.3,1.3,1.7,33098
Ohio,Moved; from abroad,0.5,0.8,0.4,0.4,0.3,0.3,0.2,0.3,0.2,20545
Oklahoma,Total,3261460,405288,245356,390008,357598,451370,317999,135676,487832,34900
Oklahoma,Moved; within same county,6.7,7.5,7.4,8.1,8.4,7.5,5.4,6.1,4.2,30136
Oklahoma,"Moved; from different county, same state",4,5.9,4.2,4.3,3.7,3.8,3.1,3.1,2.3,26309
Oklahoma,Moved; from different  state,2.7,3.5,2.6,2.8,3,2.3,2.4,2.3,2.2,30044
Oklahoma,Moved; from abroad,0.4,0.7,0.2,0.4,0.4,0.3,0.2,0.2,0.2,25393
Oregon,Total,3560049,405011,249075,399760,335683,468294,354554,178451,790518,40706
Oregon,Moved; within same county,6.7,7.4,6.8,7.9,6.7,8.4,7,6,5,36808
Oregon,"Moved; from different county, same state",3.4,5.6,4.3,3.1,2.9,3,2.8,3.6,2.6,32074
Oregon,Moved; from different  state,3.1,4.4,3.3,2.9,2.9,2.7,2.8,3,3.2,37644
Oregon,Moved; from abroad,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.2,0.3,30249
Pennsylvania,Total,10817285,1352908,761794,1182195,1080282,1432531,1145373,548005,2193730,39522
Pennsylvania,Moved; within same county,5.4,6.3,5.4,5.9,5.4,6.1,5.9,4.9,4,35903
Pennsylvania,"Moved; from different county, same state",2.8,4.7,3.2,2.5,2.2,2.3,2.8,2.2,1.9,30698
Pennsylvania,Moved; from different  state,1.9,3.3,1.4,1.6,2,1.6,1.7,1.6,1.6,32129
Pennsylvania,Moved; from abroad,0.6,0.9,0.6,0.6,0.4,0.3,0.3,0.1,0.2,21276
Rhode Island,Total,928906,106637,71656,93237,83314,110409,103400,49518,221888,42715
Rhode Island,Moved; within same county,5.2,5.2,4,5.3,4.8,8.3,5.3,4.9,3.3,40388
Rhode Island,"Moved; from different county, same state",1.7,2.7,3.6,1.7,2.9,1.4,1.4,1.1,1,27227
Rhode Island,Moved; from different  state,3.2,5.4,3.6,2.7,1.7,2.4,3.8,2.4,3.4,41610
Rhode Island,Moved; from abroad,0.8,1,1.4,0.5,0.6,0.8,0.2,0.4,0.4,25061
South Carolina,Total,4444892,563206,338572,532764,467604,618158,445632,206120,748842,36110
South Carolina,Moved; within same county,5.1,5.5,5.2,5.6,5.6,6.3,5.2,4.5,3.4,33347
South Carolina,"Moved; from different county, same state",3.1,5.1,3,3.5,2.6,2.7,2.7,2.7,1.7,25843
South Carolina,Moved; from different  state,4,4.9,3.9,3.6,4.2,3.8,3.7,2.3,4.4,34174
South Carolina,Moved; from abroad,0.5,0.8,0.3,0.4,0.3,0.3,0.3,0.4,0.3,22363
South Dakota,Total,739226,89199,50699,83770,75134,112666,97691,45567,125098,40369
South Dakota,Moved; within same county,5.1,5.9,7.4,4.8,5,6.3,6.2,3.4,3.1,36079
South Dakota,"Moved; from different county, same state",3.4,4.8,5.7,5.7,4,3,1.5,1.8,1.9,23108
South Dakota,Moved; from different  state,3.4,5.9,4.3,2.8,3.4,3.3,2.3,1.4,3.4,31589
South Dakota,Moved; from abroad,0.3,0.7,0.1,0.2,0.4,0.1,0.2,0.2,0.2,28099
Tennessee,Total,5845145,682847,466304,674744,624587,832370,598610,270644,1001640,36689
Tennessee,Moved; within same county,5.9,6.3,6,6.3,6.7,6.5,6.1,4.3,4.8,34111
Tennessee,"Moved; from different county, same state",3,3.7,2.8,3.1,3,3.3,3,3.2,2.1,33461
Tennessee,Moved; from different  state,2.9,3.7,2.6,3.2,2.6,2.7,2.7,3,3.1,35630
Tennessee,Moved; from abroad,0.4,0.7,0.3,0.4,0.2,0.3,0.2,0.3,0.2,22307
Texas,Total,24317743,2844848,1616395,2567822,2342589,2932493,2375039,1089651,4800504,39162
Texas,Moved; within same county,7.3,8,8,8.4,8.4,8.4,7.4,6.6,5.6,34796
Texas,"Moved; from different county, same state",4,5.2,3.7,3.6,3.7,4,3.9,3.7,3.4,36179
Texas,Moved; from different  state,2.1,2.3,1.8,2.1,2.1,2.1,2.2,2.1,2.3,40651
Texas,Moved; from abroad,0.9,1.4,0.9,0.9,0.6,0.6,0.6,0.4,0.5,24606
Utah,Total,2658577,356749,163845,260177,242735,336192,275460,135804,571896,40879
Utah,Moved; within same county,8,8.6,9.4,10.3,11.1,9.9,8.7,7.1,4.9,33663
Utah,"Moved; from different county, same state",3,4.9,3.7,3.6,3.6,3.5,2.7,1.5,1.8,29477
Utah,Moved; from different  state,3,4.7,3.9,3.1,2.5,2.1,2.7,2,2.6,30567
Utah,Moved; from abroad,0.9,1.7,1.5,0.5,0.5,0.4,0.4,0.1,0.3,12038
Vermont,Total,554679,69189,35772,58563,50709,78730,72659,32510,116096,42335
Vermont,Moved; within same county,4.4,4.9,4.7,5.3,5.8,4.7,3.8,3.7,2.9,34935
Vermont,"Moved; from different county, same state",2.1,3.1,2.2,2,2.6,1.3,3,2.1,1.4,34994
Vermont,Moved; from different  state,4.4,10.5,2.3,3.8,3.8,3.6,3.5,1.9,3.2,29002
Vermont,Moved; from abroad,0.4,0.8,0,0.3,0.5,0.1,0.2,0.2,0.2,30411
Virginia,Total,7180123,808065,441156,691441,643665,826411,723173,349807,1846790,44734
Virginia,Moved; within same county,4.2,4.5,4.2,4.5,5.1,4.2,4.2,3.8,3.7,40913
Virginia,"Moved; from different county, same state",5,7.3,5.1,4.6,4.8,5.3,5.6,4.7,3.6,38126
Virginia,Moved; from different  state,3.3,3.9,2.6,3.5,3.1,3.3,3,3.1,3.4,42486
Virginia,Moved; from abroad,0.6,0.9,0.7,0.7,0.7,0.3,0.4,0.3,0.4,25957
Washington,Total,6455198,678816,371231,566983,552772,780052,642673,340405,1774809,47477
Washington,Moved; within same county,7.9,7.5,7.3,7.5,8.5,10.2,8.4,9.4,7.1,46044
Washington,"Moved; from different county, same state",2.9,4.1,3,3.3,2.9,3,2.8,2.6,2.3,40224
Washington,Moved; from different  state,2.9,3.2,2.4,2.9,2.8,2.6,3,3.1,3.1,50316
Washington,Moved; from abroad,0.9,1.6,1.3,0.9,1,0.6,0.5,0.2,0.5,26736
West Virginia,Total,1483374,183530,135837,187870,173778,196928,142700,64948,196579,32196
West Virginia,Moved; within same county,4.7,6.6,4.5,5.8,3.6,5.6,3.5,3.4,2.8,25639
West Virginia,"Moved; from different county, same state",2.5,4.1,2.1,2,2.2,2,1.6,1.5,1,22298
West Virginia,Moved; from different  state,2.6,4.1,2.9,2.1,2.4,2,1.9,1.5,2.6,27813
West Virginia,Moved; from abroad,0.2,0.4,0.1,0.3,0.1,0.1,0.1,0.1,0.1,16630
Wisconsin,Total,4901177,548161,327945,523888,506354,728071,627628,286635,934964,41316
Wisconsin,Moved; within same county,5.9,6.9,6.8,6.3,6.9,6.5,5.4,4.6,4.2,35723
Wisconsin,"Moved; from different county, same state",3.2,5.4,4.4,3.4,3.1,3,2.8,2.2,2.1,31448
Wisconsin,Moved; from different  state,2.1,3.6,2.2,1.6,2,2,1.7,1.6,1.8,35445
Wisconsin,Moved; from abroad,0.4,0.7,0.5,0.4,0.5,0.2,0.2,0.1,0.2,22974
Wyoming,Total,478840,58279,35800,52179,53230,65464,58139,24484,90750,39427
Wyoming,Moved; within same county,6.1,7.4,7.8,7,8.3,6.3,5.8,4.3,3.5,32123
Wyoming,"Moved; from different county, same state",3.1,7.3,3.4,4,1.9,2.6,2.5,1.2,1.4,21168
Wyoming,Moved; from different  state,4.1,6.3,3.7,3.7,3.7,5.2,3.9,4.7,3.5,36629
Wyoming,Moved; from abroad,0.4,0.9,0.7,0.4,0.1,0.2,0.3,0.9,0.3,16759
