State,Moved,Population 1 year and over,1 to 4 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median age (years)
Washington,Moved; within same county,7.8,9.3,6.5,14.6,14.4,7.5,5.9,4,3.2,4.4,30.1
Washington,"Moved; from different county, same state",2.8,3.1,1.6,7.6,4.9,2.6,1.6,1.5,1.5,1.4,29.2
Washington,Moved; from different  state,2.8,2.3,1.7,6.8,5.6,2.6,1.7,1.6,0.8,1.2,29.5
Washington,Moved; from abroad,0.9,1,0.8,2,1.6,0.9,0.5,0.4,0.4,0.5,29.7
West Virginia,Total,1753113,70495,264189,159210,206253,213616,222373,236785,225417,154775,43.2
West Virginia,Moved; within same county,4.9,8.8,4.9,12.3,7.8,4.6,3.7,2.5,2,2.1,27.3
West Virginia,"Moved; from different county, same state",2.4,2.7,1.7,8.1,4,2.5,2,1.3,0.8,0.7,27.3
West Virginia,Moved; from different  state,2.4,1.8,1.3,7.4,4.1,1.3,2.2,2.3,0.9,1.2,29.2
West Virginia,Moved; from abroad,0.2,0.4,0.1,0.7,0.4,0.1,0.1,0.1,0.1,0.1,27.3
Wisconsin,Total,5857364,254283,936204,550661,741724,751404,688521,801172,684685,448710,40.9
Wisconsin,Moved; within same county,5.9,7.5,5,14.4,11,4.9,3.8,2.6,2.4,4,27.7
Wisconsin,"Moved; from different county, same state",3,2.6,1.4,10.7,4.6,2.7,2.1,1.6,1.2,1.3,26.9
